Detector,Descriptor,Frame index,TTC lidar,TTC camera,TTC difference
SHITOMASI,BRISK,1,12.5156,13.9019,1.38632,
SHITOMASI,BRISK,2,12.6142,12.9876,0.373362,
SHITOMASI,BRISK,3,14.091,13.2474,-0.843567,
SHITOMASI,BRISK,4,16.6894,12.8675,-3.82185,
SHITOMASI,BRISK,5,15.9082,13.4476,-2.46065,
SHITOMASI,BRISK,6,12.6787,13.5266,0.847853,
SHITOMASI,BRISK,7,11.9844,12.7172,0.732857,
SHITOMASI,BRISK,8,13.1241,13.712,0.587852,
SHITOMASI,BRISK,9,13.0241,11.5126,-1.5115,
SHITOMASI,BRISK,10,11.1746,13.456,2.28139,
SHITOMASI,BRISK,11,12.8086,11.9816,-0.827026,
SHITOMASI,BRISK,12,8.95978,11.8135,2.85372,
SHITOMASI,BRISK,13,9.96439,12.0367,2.0723,
SHITOMASI,BRISK,14,9.59863,11.342,1.74338,
SHITOMASI,BRISK,15,8.57352,9.0531,0.479579,
SHITOMASI,BRISK,16,9.51617,10.4612,0.945076,
SHITOMASI,BRISK,17,9.54658,11.6823,2.13575,
SHITOMASI,BRISK,18,8.3988,9.73863,1.33983,
SHITOMASI,BRIEF,1,12.5156,14.0747,1.55912,
SHITOMASI,BRIEF,2,12.6142,13.8102,1.19596,
SHITOMASI,BRIEF,3,14.091,11.712,-2.379,
SHITOMASI,BRIEF,4,16.6894,13.6007,-3.08865,
SHITOMASI,BRIEF,5,15.9082,12.3,-3.60823,
SHITOMASI,BRIEF,6,12.6787,13.2703,0.591609,
SHITOMASI,BRIEF,7,11.9844,21.3301,9.34575,
SHITOMASI,BRIEF,8,13.1241,12.5199,-0.604197,
SHITOMASI,BRIEF,9,13.0241,11.6077,-1.41639,
SHITOMASI,BRIEF,10,11.1746,13.6717,2.49701,
SHITOMASI,BRIEF,11,12.8086,11.7805,-1.02808,
SHITOMASI,BRIEF,12,8.95978,11.7604,2.80058,
SHITOMASI,BRIEF,13,9.96439,11.7506,1.78625,
SHITOMASI,BRIEF,14,9.59863,11.6524,2.0538,
SHITOMASI,BRIEF,15,8.57352,11.2953,2.72181,
SHITOMASI,BRIEF,16,9.51617,11.5174,2.00119,
SHITOMASI,BRIEF,17,9.54658,11.1869,1.64029,
SHITOMASI,BRIEF,18,8.3988,7.96101,-0.437791,
SHITOMASI,ORB,1,12.5156,14.2952,1.7796,
SHITOMASI,ORB,2,12.6142,12.439,-0.175234,
SHITOMASI,ORB,3,14.091,12.2131,-1.87795,
SHITOMASI,ORB,4,16.6894,12.8595,-3.82988,
SHITOMASI,ORB,5,15.9082,12.1368,-3.77144,
SHITOMASI,ORB,6,12.6787,13.6733,0.994545,
SHITOMASI,ORB,7,11.9844,11.9741,-0.010265,
SHITOMASI,ORB,8,13.1241,12.3793,-0.744804,
SHITOMASI,ORB,9,13.0241,11.3267,-1.69741,
SHITOMASI,ORB,10,11.1746,13.6447,2.47001,
SHITOMASI,ORB,11,12.8086,11.3027,-1.50592,
SHITOMASI,ORB,12,8.95978,11.3196,2.35986,
SHITOMASI,ORB,13,9.96439,12.3765,2.41211,
SHITOMASI,ORB,14,9.59863,11.5476,1.94897,
SHITOMASI,ORB,15,8.57352,10.4388,1.86529,
SHITOMASI,ORB,16,9.51617,11.6681,2.15188,
SHITOMASI,ORB,17,9.54658,9.69202,0.145439,
SHITOMASI,ORB,18,8.3988,7.60063,-0.798178,
SHITOMASI,FREAK,1,12.5156,13.6733,1.15766,
SHITOMASI,FREAK,2,12.6142,13.4468,0.832573,
SHITOMASI,FREAK,3,14.091,11.4627,-2.62833,
SHITOMASI,FREAK,4,16.6894,12.561,-4.12838,
SHITOMASI,FREAK,5,15.9082,12.6318,-3.27639,
SHITOMASI,FREAK,6,12.6787,15.1537,2.47495,
SHITOMASI,FREAK,7,11.9844,13.3422,1.35784,
SHITOMASI,FREAK,8,13.1241,12.9348,-0.18929,
SHITOMASI,FREAK,9,13.0241,12.1911,-0.833005,
SHITOMASI,FREAK,10,11.1746,13.1951,2.02042,
SHITOMASI,FREAK,11,12.8086,11.3267,-1.4819,
SHITOMASI,FREAK,12,8.95978,12.269,3.30926,
SHITOMASI,FREAK,13,9.96439,12.6681,2.70368,
SHITOMASI,FREAK,14,9.59863,11.5384,1.93978,
SHITOMASI,FREAK,15,8.57352,10.2478,1.67428,
SHITOMASI,FREAK,16,9.51617,11.3079,1.79176,
SHITOMASI,FREAK,17,9.54658,10.8743,1.3277,
SHITOMASI,FREAK,18,8.3988,7.87897,-0.519833,
SHITOMASI,SIFT,1,12.5156,14.2804,1.76482,
SHITOMASI,SIFT,2,12.6142,12.9001,0.285861,
SHITOMASI,SIFT,3,14.091,11.6087,-2.48236,
SHITOMASI,SIFT,4,16.6894,12.9209,-3.76847,
SHITOMASI,SIFT,5,15.9082,12.1886,-3.71964,
SHITOMASI,SIFT,6,12.6787,13.0553,0.376627,
SHITOMASI,SIFT,7,11.9844,12.6612,0.676806,
SHITOMASI,SIFT,8,13.1241,12.1376,-0.986508,
SHITOMASI,SIFT,9,13.0241,11.9899,-1.03424,
SHITOMASI,SIFT,10,11.1746,13.5009,2.32624,
SHITOMASI,SIFT,11,12.8086,12.1033,-0.705309,
SHITOMASI,SIFT,12,8.95978,11.8967,2.93693,
SHITOMASI,SIFT,13,9.96439,11.6227,1.65834,
SHITOMASI,SIFT,14,9.59863,10.9335,1.33491,
SHITOMASI,SIFT,15,8.57352,12.5287,3.95516,
SHITOMASI,SIFT,16,9.51617,10.68,1.16387,
SHITOMASI,SIFT,17,9.54658,10.7642,1.21763,
SHITOMASI,SIFT,18,8.3988,9.52513,1.12633,
HARRIS,BRISK,1,12.5156,10.9082,-1.60738,
HARRIS,BRISK,2,12.6142,10.195,-2.41922,
HARRIS,BRISK,3,14.091,-80.8525,-94.9435,
HARRIS,BRISK,4,16.6894,11.3951,-5.29424,
HARRIS,BRISK,5,15.9082,-inf,-inf,
HARRIS,BRISK,6,12.6787,12.9945,0.315773,
HARRIS,BRISK,7,11.9844,12.2,0.215649,
HARRIS,BRISK,8,13.1241,25.116,11.9919,
HARRIS,BRISK,9,13.0241,14.2079,1.18381,
HARRIS,BRISK,10,11.1746,-inf,-inf,
HARRIS,BRISK,11,12.8086,11.6702,-1.13837,
HARRIS,BRISK,12,8.95978,11.6948,2.73503,
HARRIS,BRISK,13,9.96439,284.161,274.197,
